a-bomb,bom nguyên tử
acotyledon,(thực vật học) cây không lá mầm
acotyledonous,(thực vật học) không lá mầm
acoumeter,cái đo nghe
acoustician,nhà âm học
acquaintanceship,sự quen biết
acreage,diện tích (tính theo mẫu anh)
acrocarpous,(thực vật học) có quả ở ngọn
acrogenous,(thực vật học) sinh ở ngọn
acromegaly,(y học) bệnh to cực
acronycal,(thiên văn học) xuất hiện vào lúc chập tối (sao...)
acronychal,(thiên văn học) xuất hiện vào lúc chập tối (sao...)
acropetal,hướng ngọn
acrophobia,(y học) chứng sợ nơi cao
acrospore,(thực vật học) bào tử ngọn
acrostic,(thơ ca) chữ đầu
acting,hành động | quyền thủ tướng
actinia,(động vật học) hải quỳ
actiniae,(động vật học) hải quỳ
actinium,(hoá học) actini
actinometer,(vật lý) cái đo nhật xạ
actinomorphic,(sinh vật học) đối xứng toả tia
actinomorphous,(sinh vật học) đối xứng toả tia
actionable,có thể kiện
activated,đã hoạt hoá
activation,sự hoạt hoá
aculeate,(thực vật học) có gai
acuminate,(thực vật học) nhọn mũi
acupuncture,(y học) thuật châm cứu
ad,(thông tục) (viết tắt) của advertisement
adagio,(âm nhạc) khoan thai
adamantine,rắn như kim cương
addax,(động vật học) linh dương sừng queo (bắc phi)
adder-spit,(thực vật học) cây lưỡi rắn (dương xỉ)
addiction,thói nghiện
adding-machine,máy cộng
addressee,người nhận (thư...)
adducent,(giải phẫu) khép (cơ) | cơ khép
adduct,(giải phẫu) khép (các cơ...)
adduction,(giải phẫu) sự khép (cơ)
addutor,(giải phẫu) cơ khép
adenite,(y học) viêm hạch
adequation,sự san bằng
adespota,những tác phẩm khuyết danh
adhesiveness,dính dính
adhibit,ký (tên) vào; đóng (dấu) vào
adiantum,(thực vật học) cây đuôi chồn (dương xỉ)
adieu,từ biệt!; vĩnh biệt! | chào từ biệt
adipocere,chất sáp mỡ (xác chết)
adipose,mỡ động vật
adiposis,(y học) chứng phát phì
adjournment,sự hoãn lại
adjudicate,xét xử (quan toà)
adjudication,sự xét xử
adjudicator,quan toà
adjustable,có thể điều chỉnh được
adjuster,máy điều chỉnh
adjutancy,(quân sự) chức sĩ quan phụ tá; nhiệm vụ sĩ quan phụ tá
adjutant,người phụ tá
admass,quần chúng dễ bị thủ đoạn quảng cáo ảnh hưởng
admeasure,quy định từng phần; chia phần ra
administrator,người quản lý
administratorship,chức vụ quản lý
admiralship,chức đô đốc
admittable,có thể để cho vào (nơi nào)
adnate,(sinh vật học) hợp sinh
adolescence,thời thanh niên
adolescency,thời thanh niên
adoptable,có thể nhận làm con nuôi; có thể nhận làm bố mẹ nuôi
adoptee,con nuôi
adopter,người nhận nuôi
adoption,sự nhận làm con nuôi; sự nhận làm bố mẹ nuôi
adoptive,nuôi; nhận nuôi | con trai nuôi | bố nuôi
adrenalin,(y học) adrenalin
adsorb,(hoá học) hút bám
adsorbate,(hoá học) chất bị hút bám
adsorbent,(hoá học) hút bám
adsorber,(hoá học) máy hút bám
adsorption,(hoá học) sự hút bám
adulterant,để làm giả
adulterate,có pha (rượu) | pha sữa với nước|- àm giả mạo
adumbral,nhiều bóng râm
adumbrate,phác hoạ
advance-guard,(quân sự) quân tiền phong
adventuress,người đàn bà thích phiêu lưu mạo hiểm
adventurism,chủ nghĩa phiêu lưu
adverb,(ngôn ngữ học) phó từ
adverbial,(ngôn ngữ học) (thuộc) phó từ; có tính chất phó từ
adversative,(ngôn ngữ học) đối lập
advertiser,người báo cho biết trước
advocacy,nhiệm vụ luật sư
adynamia,(y học) chứng mệt lử; sự kiệt sức
adz,rìu lưỡi vòm
adze,rìu lưỡi vòm
aelotropic,(vật lý) dị hướng
aelotropy,(vật lý) tính dị hướng
aerie,tổ chim làm tít trên cao (của chim săn mồi)
aeriform,dạng hơi
aero-engine,động cơ máy bay
aerobatics,sự nhào lộn trên không (của máy bay)
aerobe,vi sinh vật ưa khí
aerocamera,máy ảnh chụp trên không (chụp từ máy bay)
aerocarrier,tàu sân bay
aerodrome,sân bay
aerodynamic,khí động lực
aerodynamical,khí động lực
aerodyne,máy bay nặng hơn không khí
aeroembolism,(y học) bệnh khí ép
aerofoil,cánh máy bay
aerogram,bức điện rađiô
aerogun,súng gắn trên máy bay
aerology,(vật lý) môn quyển khí
aeromechanics,cơ học chất khí
aerometer,cái đo tỷ trọng khí
aeronaut,nhà hàng không; người lái khí cầu
aeronautic,(thuộc) hàng không
aeronautical,(thuộc) hàng không
aeronautics,hàng không học
aeronavigation,thuật hàng không
aerophotograph,ảnh chụp từ máy bay
aerophotography,sự chụp ảnh từ máy bay; phép chụp ảnh từ máy bay
aeroport,sân bay lớn
aerostat,khí cầu
aerostatics,(số nhiều dùng như số ít) khí cầu học
aerotechnics,kỹ thuật hàng không
aeruginous,có tính chất gỉ đồng; giống màu gỉ đồng
aery,tổ chim làm tít trên cao (của chim săn mồi)
aesthete,nhà thẩm mỹ
aesthetically,có thẩm mỹ
aesthetics,mỹ học
aestho-physiology,sinh lý học giác quan
aestival,(thuộc) mùa hạ; sinh vào mùa hạ
aestivate,(động vật học) ngủ hè
aestivation,(động vật học) sự ngủ hè
aetiology,thuyết nguyên nhân
affectivity,tính dễ xúc động
affettuoso,(âm nhạc) âu yếm
affined,có quan hệ họ hàng
afflatus,cảm hứng
afforest,trồng cây gây rừng; biến thành rừng
afforestation,sự trồng cây gây rừng; sự biến thành rừng
afforestment,sự trồng cây gây rừng; sự biến thành rừng
affranchise,giải phóng
affranchisement,sự giải phóng
affricate,(ngôn ngữ học) âm tắc xát
afghan,người ap-ga-ni-xtăng
aforecited,đã dẫn
aforegoing,xảy ra trước đây
afreet,con quỷ (thần thoại người hồi)
afresh,lại lần nữa | bắt đầu lại từ đầu
african,thuộc châu phi
afrikaans,người nam phi; người hà lan ở kếp
afrikaner,người nam phi gốc âu (đặc biệt là hà lan)
afrikanist,nhà nghiên cứu văn hoá châu phi
afrit,con quỷ (thần thoại người hồi)
afrite,con quỷ (thần thoại người hồi)
afro-american,thuộc người mỹ da đen; người mỹ nguồn gốc châu phi
after-care,sự trông nom chăm sóc sau thời gian điều trị
after-effect,hậu quả
after-pains,(y học) chứng đau bóp tử cung sau hậu sản
afterbirth,nhau (đàn bà đẻ)
afterburner,(hàng không) thùng chất đốt phụ (máy bay phản lực)
afterclap,việc hậu phát
aftercrop,lúa dẻ
afterglow,ánh hồng ban chiếu (ở chân trời sau khi mặt trời lặn)
aftergrowth,lúa dẻ
afterimage,dư ảnh
afterlight,(sân khấu) ánh sáng phía sau
aftermath,(như) after-grass | hậu quả của chiến tranh
afternoon,buổi chiều | lúc về già | người lười biếng
aftertaste,dư vị
afterword,lời bạt (cuối sách)
agamic,(sinh vật học) vô tính
agamogenesis,sự sinh sản vô tính
agamous,(sinh vật học) vô tính
agaric,(thực vật học) nấm tán
agaricaceous,(thực vật học) thuộc họ nấm tán
agate,đá mã não
agave,(thực vật học) cây thùa
agaze,đang nhìn đăm đăm
age-old,lâu đời | nền văn hoá lâu đời
aged,làm cho già đi
ageing,sự hoá già
ageless,trẻ mãi không già
agenda,(số nhiều) những việc phải làm
agglomerant,(hoá học) chất làm kết tụ
agglutinant,chất dính
agglutinate,dính kết
agglutination,sự dính kết
agglutinative,làm dính kết
aggressiveness,tính chất xâm lược
aghast,kinh ngạc; kinh hãi; kinh hoàng; thất kinh
aging,sự hoá già
agiotage,nghề đổi tiền
agist,nhận cho vật nuôi vào ăn cỏ
aglet,miếng kim loại bịt đầu dây (dây giày...)
agnail,chỗ xước mang rô (ở cạnh móng tay)
agnation,quan hệ phía cha
agnostic,(triết học) (thuộc) thuyết không thể biết
agnosticism,(triết học) thuyết không thể biết
agoraphobia,chứng sợ khoảng rộng
agouti,(động vật học) chuột lang aguti
agouty,(động vật học) chuột lang aguti
agrestic,ở nông thôn
agriculturalist,nhà nông học ((cũng) scientific agriculturalist)
agriculture,nông nghiệp
agriculturist,nhà nông học ((cũng) scientific agriculturalist)
agrimotor,(nông nghiệp) máy kéo
agrobiological,(thuộc) nông sinh học
agrobiologist,nhà nông sinh học
agrobiology,nông sinh học
agronomic,(thuộc) nông học
agronomical,(thuộc) nông học
agronomics,nông học
agronomist,nhà nông học
agronomy,nông học
ague,cơn sốt rét
ague-cake,(y học) bệnh sưng lá lách do sốt rét
aguish,(thuộc) bệnh sốt rét; gây bệnh sốt rét
aheap,thành đồng
ahull,(hàng hải) buồm cuốn hết
aide-mémoire,bản ghi chép tóm tắt cho dễ nhớ
aiglet,miếng kim loại bịt đầu dây (dây giày...)
aiguillette,dây tua (quân phục) ((cũng) aglet)
ailanthus,(thực vật học) cây lá lĩnh
air-ball,quả bóng thổi (đồ chơi trẻ em)
air-barrage,hàng rào khí cầu phòng không
air-base,(quân sự) căn cứ không quân
air-bed,nệm hơi
air-bladder,(sinh vật học) bong bóng hơi
air-blast,luồng không khí
air-brake,phanh bơi
air-brick,gạch có lỗ
air-bridge,(hàng không) cầu hàng không (đường bay giữa hai địa điểm)
air-bump,(hàng không) lỗ hổng không khí
air-burst,sự nổ ở trên không (bom...)
air-cock,vòi xả hơi
air-cool,làm nguội bằng không khí
air-cooled,được làm nguội bằng không khí
air-cooling,sự làm nguội bằng không khí
air-cushion,gối hơi
air-defence,(quân sự) sự phòng không
air-exhauster,(kỹ thuật) cái quạt đầy gió
air-frame,(hàng không) khung máy bay
air-freighter,máy bay vận tải
air-gauge,cái đo khí áp
air-gun,súng hơi
air-hammer,búa hơi
air-highway,đường hàng không
air-hole,lỗ thông hơi
air-hostess,cô phục vụ trên máy bay
air-jacket,áo hơi (để cứu đuối)
air-lift,cầu hàng không (để ứng cứu)
air-line,đường hàng không
air-liner,máy bay chở hành khách lớn
air-lock,(kỹ thuật) nút không khí
air-marshal,(quân sự) trung tướng không quân
air-mechanic,thợ máy trên máy bay
air-minded,thích ngành hàng không
air-mindedness,tính thích ngành hàng không
air-monger,người hay mơ tưởng hão
air-photography,sự chụp ảnh từ máy bay
air-pipe,ống thông hơi
air-pocket,(hàng không) lỗ hổng không khí
air-port,sân bay (thường là dân dụng)
air-pump,bơm hơi
air-route,đường hàng không
air-shaft,hầm mỏ thông gió
air-sick,say gió (khi đi máy bay)
air-sickness,chứng say gió (khi đi máy bay)
air-speed,tốc độ của máy bay
air-stop,ga máy bay trực thăng (chở hành khách)
air-strip,đường băng
air-to-air,không đối không | tên lửa không đối không
air-to-ground,không đối đất | tên lửa không đối đất
air-track,đường hàng không
air-unit,(quân sự) đơn vị không quân
aircraftman,(quân sự) lính không quân (anh)
airfoil,cánh máy bay
airmanship,thuật lái máy bay
airphoto,ảnh chụp từ máy bay
airscrew,cánh quạt máy bay
airshed,nhà để máy bay
airship,khí cầu
airway,chiến tranh bằng không quân
airwoman,nữ phi công
airworthiness,khả năng bay được (máy bay)
airworthy,bay được (máy bay)
aitchbone,xương đùi (bò)
ajog,đi nước kiệu nhỏ (ngựa)
akene,(thực vật học) quả bế
akimbo,chống nạnh | đứng tay chống nạnh
alabaster,(khoáng chất) thạch cao tuyết hoa
alacrity,sự sốt sắng
alar,(thuộc) cánh; giống cánh; hình cánh
alarm-clock,đồng hồ báo thức
alarm-post,(quân sự) nơi tập trung quân đội khi có báo động
albacore,(động vật học) cá ngừ
albanian,(thuộc) an-ba-ni
albata,hợp kim mayso
albatross,chim hải âu lớn
albinism,(y học) chứng bạch tạng
albino,người bạch tạng
albion,(thơ ca) nước anh
albite,(khoáng chất) fenspat trắng
albugo,(y học) chứng vảy cá (ở mắt)
albumenize,phết một lớp anbumin (giấy ảnh) | giấy abumin
albumin,(hoá học) anbumin
albuminoid,(hoá học) anbuminoit
albuminous,(thuộc) anbumin; có anbumin
albuminuria,(y học) chứng đái anbumin
alburnum,dác (gỗ)
alchemic,(thuộc) thuật giả kim
alchemical,(thuộc) thuật giả kim
alchemise,làm biến đổi (như thể bằng thuật giả kim)
alchemist,nhà giả kim
alchemize,làm biến đổi (như thể bằng thuật giả kim)
alchemy,thuật giả kim
alcohol,rượu cồn
alcoholise,cho chịu tác dụng của rượu
alcoholism,tác hại của rượu (đối với cơ thể)
alcoholization,sự cho chịu tác dụng của rượu
alcoholize,cho chịu tác dụng của rượu
alcoholometer,ống đo rượu
alcoholometry,phép đo rượu
alcoran,kinh co-ran (đạo hồi)
alcove,góc phòng thụt vào (để đặt giường...)
aldehyde,(hoá học) anđehyt
alder,(thực vật học) cây tổng quán sủi
aldermanry,quận có uỷ viên trong hội đồng thành phố
ale,rượu bia
ale-house,quán bia
ale-wife,bà chủ quán bia
alegar,rượu bia chua
aleuron,(thực vật học) hạt alơron
aleurone,(thực vật học) hạt alơron
alexandrine,thể thơ alexanđrin (mỗi câu có mười hai âm tiết)
alexin,(y học) chất alexin
alexipharmic,giải độc
alfalfa,(thực vật học) cỏ linh lăng
algebra,đại số học
algebraist,nhà đại số học
algerian,(thuộc) an-giê-ri
algerine,(thuộc) an-giê-ri
algologist,nhà nghiên cứu tảo
algology,khoa nghiên cứu tảo
algorism,thuật toán
algorithm,thuật toán
alicylic,(hoá học) (thuộc) vòng no
alienator,(pháp lý) người chuyển nhượng (tài sản...)
alienee,(pháp lý) người được chuyển nhượng
alienism,tính cách ngoại kiều
alienist,(y học) người bị bệnh tinh thần
aliform,hình cánh
aliment,đồ ăn
alimental,dùng làm đồ ăn; nuôi dưỡng
aliped,(động vật học) có chân cánh
aliphatic,(hoá học) béo | hợp chất béo
aliquote,(toán học) ước số
alizarin,(hoá học) alizarin | thuốc nhuộm alizarin
alizarine,(hoá học) alizarin | thuốc nhuộm alizarin
alkalescence,(hoá học) độ kiềm nhẹ
alkalescent,(hoá học) có độ kiềm nhẹ
alkali,(hoá học) chất kiềm | đất kiềm
alkalifiable,(hoá học) có thể kiềm hoá
alkalify,(hoá học) kiềm hoá
alkalimeter,(hoá học) cái đo kiềm
alkalimetric,(hoá học) (thuộc) phép đo kiềm
alkalimetry,(hoá học) phép đo kiềm
alkaline,(hoá học) kiềm
alkalization,(hoá học) sự kiềm hoá
alkalize,(hoá học) kiềm hoá
alkaloid,(hoá học) ancaloit
all-clear,còi báo an (lúc báo động phòng không)
all-embracing,bao gồm tất cả
all-hallows,các thánh | ngày lễ các thánh
all-in,bao gồm tất cả
all-overishness,sự khó ở; sự đau mỏi khắp người
all-powerful,nắm hết quyền lực; có mọi quyền lực
all-steel,toàn bằng thép
all-wool,toàn bằng len
allegretto,(âm nhạc) hơi nhanh
allegro,(âm nhạc) nhanh
alleluia,bài hát ca ngợi chúa
allemande,điệu múa dân gian đức
allergic,(y học) dị ứng
allergy,(y học) dị ứng
alliaceous,(thực vật học) (thuộc) loại hành tỏi
alligator,cá sấu mỹ
alliterate,lặp lại âm đầu
alliteration,sự lặp lại âm đầu
alliterative,lặp âm đầu
allocate,chỉ định; dùng (số tiền vào việc gì)
allocation,sự chỉ định; sự dùng (một số tiền vào việc gì)
allocution,bài nói ngắn (để hô hào...)
allomeric,khác chất
allomerism,tính chất khác
allopath,(y học) thầy thuốc chữa theo phương pháp đối chứng
allopathic,(y học) (thuộc) phép chữa đối chứng
allopathy,(y học) phép chữa đối chứng
allotropic,khác hình
allotropism,tính khác hình
allotropy,tính khác hình
allottee,người được nhận phần chia
allowable,có thể cho phép được
allowedly,được cho phép
allseed,(thực vật học) cây lắm hạt
allspice,hạt tiêu gia-mai-ca (hạt của một cây thuộc họ sim)
alma,vũ nữ ai-cập
almah,vũ nữ ai-cập
almond-shaped,dạng quả hạnh
almoner,người phát chẩn
almonry,nơi phát chẩn
alms,(thường) dùng như số ít của bố thí | xin của bố thí
alms-deed,việc từ thiện
alms-giver,người bố thí
alms-house,nhà tế bần
aloe,(thực vật học) cây lô hội
aloofness,sự tách ra
alp,ngọn núi
alphabetic,(thuộc) bảng chữ cái (thuộc) hệ thống chữ cái
alphabetically,theo thứ tự abc
alphabetise,sắp xếp theo thứ tự abc
alphabetize,sắp xếp theo thứ tự abc
alpinist,người leo núi
altar-boy,lễ sinh (trong giáo đường)
altar-cloth,khăn trải bàn thờ
altar-piece,bức trang trí sau bàn thờ
altercation,cuộc cãi nhau
alternativity,khả năng chọn lựa (một trong hai)
alternator,(điện học) máy dao điện
altigraph,(hàng không) máy ghi độ cao
alto,(âm nhạc) giọng nữ trầm; giọng nam cao
alto-cumulus,(khí tượng) mây dung tích
alto-stratus,(khí tượng) mây trung tầng
altruism,chủ nghĩa vị tha
altruistic,(thuộc) chủ nghĩa vị tha
alum,phèn | đất phèn | nhà máy phèn
alumina,alumin
aluminium,nhôm
aluminous,(thuộc) phèn; có phèn
alveolar,(thuộc) túi phôi
alveolate,có lỗ như tổ ong
amalgam,(hoá học) hỗn hống
amalgamate,(hoá học) hỗn hống hoá
amalgamated,(hoá học) đã hỗn hồng
amalgamation,(hoá học) sự hỗn hồng hoá
amalgamator,(hoá học) máy hỗn hống
amanita,(thực vật học) nấm amanit
amaranthine,(thực vật học) đỏ tía
amaryllidaceous,(thực vật học) (thuộc) họ thuỷ tiên
amaryllis,hoa loa kèn đỏ
amateurishness,(như) amateurism
amatol,amaton (thuốc nổ)
amaurosis,(y học) chứng thanh manh
amazon,sông a-ma-zôn (nam-mỹ)
ambages,lời nói quanh co; thủ đoạn quanh co
ambassador-at-large,đại sứ lưu động
ambassadress,nữ đại sứ
amber,hổ phách
ambergris,long diên hương
ambidexterity,sự thuận cả hai tay
ambidexterousness,sự thuận cả hai tay
ambidextrousness,sự thuận cả hai tay
amble,sự đi nước kiệu; nước kiệu
ambler,ngựa đi nước kiệu
amblyopia,(y học) chứng giảm sức nhìn
amblyopic,bị giảm sức nhìn
ambrosial,thơm tho như thức ăn của thần tiên
ambulant,(y học) di chuyển bệnh
ambury,u mềm (ở ngựa và bò)
amenability,sự chịu trách nhiệm
amenableness,sự chịu trách nhiệm
amenorrhea,(y học) sự mất kinh
amenorrhoea,(y học) sự mất kinh
amentaceous,(thực vật học) cỏ cụm hoa đuôi sóc
amentiferous,(thực vật học) mang cụm hoa đuôi sóc
amentiform,(thực vật học) hình đuôi sóc (cụm hoa)
american,(thuộc) châu mỹ; (thuộc) nước mỹ
americanise,mỹ hoá
americanism,từ ngữ đặc mỹ
americanization,sự mỹ hoá
americanize,mỹ hoá
americium,(hoá học) ameriđi
amerind,người thổ dân da đỏ (mỹ); người et-ki-mô
ames-ace,hai con một (đánh súc sắc)
ametropy,(y học) chứng loạn khúc xạ
amianthus,(khoáng chất) amiăng
amide,(hoá học) amit
amidin,(hoá học) amiđin
amidol,(hoá học) amiđola
amidships,(hàng hải) ở giữa tàu
amine,(hoá học) amin
ammiaceous,(thực vật học) (thuộc) họ hoa tán
ammo,(viết tắt) của ammunition
ammonal,thuốc nổ amonan (làm bằng amoni nitrat và nhôm)
ammoniac,(hoá học) (thuộc) amoniac
ammoniacal,(hoá học) (thuộc) amoniac; có tính chất amoniac
ammonification,(hoá học) sự amoni hoá
ammonite,con cúc (một thứ vỏ ốc hoá đá)
amnesia,chứng quên
amnesty,sự ân xá
amoeba,amip
amoebae,amip
amoebic,(thuộc) amip; như amip
amoeboid,(thuộc) amip; di động theo kiểu amip
amorist,người đa tình; người si tình; người ham dục tình
amour,chuyện tình; chuyện yêu đương ((thường) là bất chính)
amourette,tình yêu phù phiếm; chuyện yêu đương lăng nhăng
amperage,(điện học) sự đo cường độ dòng điện
ampere-hour,ampe giờ
ampere-second,(điện học) ampe giây
ampere-turn,(điện học) ampe vòng
amperemeter,(điện học) cái đo ampe
ampersand,ký hiệu &
amphibia,(động vật học) lớp lưỡng cư
amphibiology,lưỡng cư học
amphibiousness,tính lưỡng cư; sự vừa ở cạn vừa ở nước
amphictyony,đại nghị liên bang (cổ hy lạp)
amphigam,(thực vật học) loài song giao
amphigamous,(thực vật học) song giao
amphigenous,(thực vật học) sinh ở bên
amphioxus,(động vật học) con lưỡng tiêm
amphipod,(động vật học) giáp xác chân hai loại
amphipoda,(số nhiều) (động vật học) bộ chân hai loại
amphipodan,(động vật học) (thuộc) bộ chân hai loại
amphiprostyle,có dây cột ở cả hai đầu
amphitheatre,giảng đường (có bậc)
amphitheatrical,(thuộc) giảng đường
amphitryon,chủ nhân; người thết tiệc
amphoric,(y học) (thuộc) vò; như thổi qua cái vò | tiếng thở vò
amphoteric,(vật lý); (hoá học) lưỡng tính | ion lưỡng tính
amplexicaul,(thực vật học) ôm thân (lá)
ampliative,(triết học) mở rộng (khái niệm)
amplidyne,(vật lý) ampliđyn
ampullaceous,hình (giống cái) bình
amputate,cắt cụt (bộ phận của cơ thể) | cắt cụt cánh tay
amputation,(y học) thủ thuật cắt cụt
amputator,người cắt cụt
amulet,bùa
amygdalic,có chất hạnh; giống hạt hạnh
amygdaloid,tựa hạt hạnh
amyl,(hoá học) amyla
amylaceous,(thuộc) tinh bột
amylic,(hoá học) amylic
amylopsin,(sinh vật học) amilopxin (chất men tiêu hoá)
anabaptism,sự làm lễ rửa tội lại
anabaptist,người làm lễ rửa tội lại
anabaptistical,(thuộc) giáo phái rửa tội lại
anabas,(động vật học) cá rô
anabatic,(khí tượng) do luồng khí bốc lên
anabiosis,(sinh vật học) trạng thái tiềm sinh
anabolic,(sinh vật học) (thuộc) sự đồng hoá
anabolism,(sinh vật học) sự đồng hoá
anabranch,nhánh vòng (của sông)
anacard,(thực vật học) quả đào lộn hột
anacardiaceous,(thực vật học) (thuộc) họ đào lộn hột
anacardium,(thực vật học) cây đào lộn hột
anaclastic,(thuộc) khúc xạ; có tính khúc xạ
anaclastics,khúc xạ học
anacrusis,âm tiết không trọng âm đầu câu (thơ ca)
anadromous,ngược sông để đẻ (cá biển)
